#,emoji,name
1,😀,grinning face
2,😃,grinning face with big eyes
3,😄,grinning face with smiling eyes
4,😁,beaming face with smiling eyes
5,😆,grinning squinting face
6,😅,grinning face with sweat
7,🤣,rolling on the floor laughing
8,😂,face with tears of joy
9,🙂,slightly smiling face
10,🙃,upside-down face
11,😉,winking face
12,😊,smiling face with smiling eyes
13,😇,smiling face with halo
14,🥰,smiling face with hearts
15,😍,smiling face with heart-eyes
16,🤩,star-struck
17,😘,face blowing a kiss
18,😗,kissing face
19,☺,smiling face
20,😚,kissing face with closed eyes
21,😙,kissing face with smiling eyes
22,🥲,smiling face with tear
23,😋,face savoring food
24,😛,face with tongue
25,😜,winking face with tongue
26,🤪,zany face
27,😝,squinting face with tongue
28,🤑,money-mouth face
29,🤗,hugging face
30,🤭,face with hand over mouth
31,🤫,shushing face
32,🤔,thinking face
33,🤐,zipper-mouth face
34,🤨,face with raised eyebrow
35,😐,neutral face
36,😑,expressionless face
37,😶,face without mouth
38,😶‍🌫️,⊛ face in clouds
39,😏,smirking face
40,😒,unamused face
41,🙄,face with rolling eyes
42,😬,grimacing face
43,😮‍💨,⊛ face exhaling
44,🤥,lying face
45,😌,relieved face
46,😔,pensive face
47,😪,sleepy face
48,🤤,drooling face
49,😴,sleeping face
50,😷,face with medical mask
51,🤒,face with thermometer
52,🤕,face with head-bandage
53,🤢,nauseated face
54,🤮,face vomiting
55,🤧,sneezing face
56,🥵,hot face
57,🥶,cold face
58,🥴,woozy face
59,😵,knocked-out face
60,😵‍💫,⊛ face with spiral eyes
61,🤯,exploding head
62,🤠,cowboy hat face
63,🥳,partying face
64,🥸,disguised face
65,😎,smiling face with sunglasses
66,🤓,nerd face
67,🧐,face with monocle
68,😕,confused face
69,😟,worried face
70,🙁,slightly frowning face
71,☹,frowning face
72,😮,face with open mouth
73,😯,hushed face
74,😲,astonished face
75,😳,flushed face
76,🥺,pleading face
77,😦,frowning face with open mouth
78,😧,anguished face
79,😨,fearful face
80,😰,anxious face with sweat
81,😥,sad but relieved face
82,😢,crying face
83,😭,loudly crying face
84,😱,face screaming in fear
85,😖,confounded face
86,😣,persevering face
87,😞,disappointed face
88,😓,downcast face with sweat
89,😩,weary face
90,😫,tired face
91,🥱,yawning face
92,😤,face with steam from nose
93,😡,pouting face
94,😠,angry face
95,🤬,face with symbols on mouth
96,😈,smiling face with horns
97,👿,angry face with horns
98,💀,skull
99,☠,skull and crossbones
100,💩,pile of poo
101,🤡,clown face
102,👹,ogre
103,👺,goblin
104,👻,ghost
105,👽,alien
106,👾,alien monster
107,🤖,robot
108,😺,grinning cat
109,😸,grinning cat with smiling eyes
110,😹,cat with tears of joy
111,😻,smiling cat with heart-eyes
112,😼,cat with wry smile
113,😽,kissing cat
114,🙀,weary cat
115,😿,crying cat
116,😾,pouting cat
117,🙈,see-no-evil monkey
118,🙉,hear-no-evil monkey
119,🙊,speak-no-evil monkey
120,💋,kiss mark
121,💌,love letter
122,💘,heart with arrow
123,💝,heart with ribbon
124,💖,sparkling heart
125,💗,growing heart
126,💓,beating heart
127,💞,revolving hearts
128,💕,two hearts
129,💟,heart decoration
130,❣,heart exclamation
131,💔,broken heart
132,❤️‍🔥,⊛ heart on fire
133,❤️‍🩹,⊛ mending heart
134,❤,red heart
135,🧡,orange heart
136,💛,yellow heart
137,💚,green heart
138,💙,blue heart
139,💜,purple heart
140,🤎,brown heart
141,🖤,black heart
142,🤍,white heart
143,💯,hundred points
144,💢,anger symbol
145,💥,collision
146,💫,dizzy
147,💦,sweat droplets
148,💨,dashing away
149,🕳,hole
150,💣,bomb
151,💬,speech balloon
152,👁️‍🗨️,eye in speech bubble
153,🗨,left speech bubble
154,🗯,right anger bubble
155,💭,thought balloon
156,💤,zzz
157,👋,waving hand
158,🤚,raised back of hand
159,🖐,hand with fingers splayed
160,✋,raised hand
161,🖖,vulcan salute
162,👌,OK hand
163,🤌,pinched fingers
164,🤏,pinching hand
165,✌,victory hand
166,🤞,crossed fingers
167,🤟,love-you gesture
168,🤘,sign of the horns
169,🤙,call me hand
170,👈,backhand index pointing left
171,👉,backhand index pointing right
172,👆,backhand index pointing up
173,🖕,middle finger
174,👇,backhand index pointing down
175,☝,index pointing up
176,👍,thumbs up
177,👎,thumbs down
178,✊,raised fist
179,👊,oncoming fist
180,🤛,left-facing fist
181,🤜,right-facing fist
182,👏,clapping hands
183,🙌,raising hands
184,👐,open hands
185,🤲,palms up together
186,🤝,handshake
187,🙏,folded hands
188,✍,writing hand
189,💅,nail polish
190,🤳,selfie
191,💪,flexed biceps
192,🦾,mechanical arm
193,🦿,mechanical leg
194,🦵,leg
195,🦶,foot
196,👂,ear
197,🦻,ear with hearing aid
198,👃,nose
199,🧠,brain
200,🫀,anatomical heart
201,🫁,lungs
202,🦷,tooth
203,🦴,bone
204,👀,eyes
205,👁,eye
206,👅,tongue
207,👄,mouth
208,👶,baby
209,🧒,child
210,👦,boy
211,👧,girl
212,🧑,person
213,👱,person: blond hair
214,👨,man
215,🧔,person: beard
216,🧔‍♂️,⊛ man: beard
217,🧔‍♀️,⊛ woman: beard
218,👨‍🦰,man: red hair
219,👨‍🦱,man: curly hair
220,👨‍🦳,man: white hair
221,👨‍🦲,man: bald
222,👩,woman
223,👩‍🦰,woman: red hair
224,🧑‍🦰,person: red hair
225,👩‍🦱,woman: curly hair
226,🧑‍🦱,person: curly hair
227,👩‍🦳,woman: white hair
228,🧑‍🦳,person: white hair
229,👩‍🦲,woman: bald
230,🧑‍🦲,person: bald
231,👱‍♀️,woman: blond hair
232,👱‍♂️,man: blond hair
233,🧓,older person
234,👴,old man
235,👵,old woman
236,🙍,person frowning
237,🙍‍♂️,man frowning
238,🙍‍♀️,woman frowning
239,🙎,person pouting
240,🙎‍♂️,man pouting
241,🙎‍♀️,woman pouting
242,🙅,person gesturing NO
243,🙅‍♂️,man gesturing NO
244,🙅‍♀️,woman gesturing NO
245,🙆,person gesturing OK
246,🙆‍♂️,man gesturing OK
247,🙆‍♀️,woman gesturing OK
248,💁,person tipping hand
249,💁‍♂️,man tipping hand
250,💁‍♀️,woman tipping hand
251,🙋,person raising hand
252,🙋‍♂️,man raising hand
253,🙋‍♀️,woman raising hand
254,🧏,deaf person
255,🧏‍♂️,deaf man
256,🧏‍♀️,deaf woman
257,🙇,person bowing
258,🙇‍♂️,man bowing
259,🙇‍♀️,woman bowing
260,🤦,person facepalming
261,🤦‍♂️,man facepalming
262,🤦‍♀️,woman facepalming
263,🤷,person shrugging
264,🤷‍♂️,man shrugging
265,🤷‍♀️,woman shrugging
266,🧑‍⚕️,health worker
267,👨‍⚕️,man health worker
268,👩‍⚕️,woman health worker
269,🧑‍🎓,student
270,👨‍🎓,man student
271,👩‍🎓,woman student
272,🧑‍🏫,teacher
273,👨‍🏫,man teacher
274,👩‍🏫,woman teacher
275,🧑‍⚖️,judge
276,👨‍⚖️,man judge
277,👩‍⚖️,woman judge
278,🧑‍🌾,farmer
279,👨‍🌾,man farmer
280,👩‍🌾,woman farmer
281,🧑‍🍳,cook
282,👨‍🍳,man cook
283,👩‍🍳,woman cook
284,🧑‍🔧,mechanic
285,👨‍🔧,man mechanic
286,👩‍🔧,woman mechanic
287,🧑‍🏭,factory worker
288,👨‍🏭,man factory worker
289,👩‍🏭,woman factory worker
290,🧑‍💼,office worker
291,👨‍💼,man office worker
292,👩‍💼,woman office worker
293,🧑‍🔬,scientist
294,👨‍🔬,man scientist
295,👩‍🔬,woman scientist
296,🧑‍💻,technologist
297,👨‍💻,man technologist
298,👩‍💻,woman technologist
299,🧑‍🎤,singer
300,👨‍🎤,man singer
301,👩‍🎤,woman singer
302,🧑‍🎨,artist
303,👨‍🎨,man artist
304,👩‍🎨,woman artist
305,🧑‍✈️,pilot
306,👨‍✈️,man pilot
307,👩‍✈️,woman pilot
308,🧑‍🚀,astronaut
309,👨‍🚀,man astronaut
310,👩‍🚀,woman astronaut
311,🧑‍🚒,firefighter
312,👨‍🚒,man firefighter
313,👩‍🚒,woman firefighter
314,👮,police officer
315,👮‍♂️,man police officer
316,👮‍♀️,woman police officer
317,🕵,detective
318,🕵️‍♂️,man detective
319,🕵️‍♀️,woman detective
320,💂,guard
321,💂‍♂️,man guard
322,💂‍♀️,woman guard
323,🥷,ninja
324,👷,construction worker
325,👷‍♂️,man construction worker
326,👷‍♀️,woman construction worker
327,🤴,prince
328,👸,princess
329,👳,person wearing turban
330,👳‍♂️,man wearing turban
331,👳‍♀️,woman wearing turban
332,👲,person with skullcap
333,🧕,woman with headscarf
334,🤵,person in tuxedo
335,🤵‍♂️,man in tuxedo
336,🤵‍♀️,woman in tuxedo
337,👰,person with veil
338,👰‍♂️,man with veil
339,👰‍♀️,woman with veil
340,🤰,pregnant woman
341,🤱,breast-feeding
342,👩‍🍼,woman feeding baby
343,👨‍🍼,man feeding baby
344,🧑‍🍼,person feeding baby
345,👼,baby angel
346,🎅,Santa Claus
347,🤶,Mrs. Claus
348,🧑‍🎄,mx claus
349,🦸,superhero
350,🦸‍♂️,man superhero
351,🦸‍♀️,woman superhero
352,🦹,supervillain
353,🦹‍♂️,man supervillain
354,🦹‍♀️,woman supervillain
355,🧙,mage
356,🧙‍♂️,man mage
357,🧙‍♀️,woman mage
358,🧚,fairy
359,🧚‍♂️,man fairy
360,🧚‍♀️,woman fairy
361,🧛,vampire
362,🧛‍♂️,man vampire
363,🧛‍♀️,woman vampire
364,🧜,merperson
365,🧜‍♂️,merman
366,🧜‍♀️,mermaid
367,🧝,elf
368,🧝‍♂️,man elf
369,🧝‍♀️,woman elf
370,🧞,genie
371,🧞‍♂️,man genie
372,🧞‍♀️,woman genie
373,🧟,zombie
374,🧟‍♂️,man zombie
375,🧟‍♀️,woman zombie
376,💆,person getting massage
377,💆‍♂️,man getting massage
378,💆‍♀️,woman getting massage
379,💇,person getting haircut
380,💇‍♂️,man getting haircut
381,💇‍♀️,woman getting haircut
382,🚶,person walking
383,🚶‍♂️,man walking
384,🚶‍♀️,woman walking
385,🧍,person standing
386,🧍‍♂️,man standing
387,🧍‍♀️,woman standing
388,🧎,person kneeling
389,🧎‍♂️,man kneeling
390,🧎‍♀️,woman kneeling
391,🧑‍🦯,person with white cane
392,👨‍🦯,man with white cane
393,👩‍🦯,woman with white cane
394,🧑‍🦼,person in motorized wheelchair
395,👨‍🦼,man in motorized wheelchair
396,👩‍🦼,woman in motorized wheelchair
397,🧑‍🦽,person in manual wheelchair
398,👨‍🦽,man in manual wheelchair
399,👩‍🦽,woman in manual wheelchair
400,🏃,person running
401,🏃‍♂️,man running
402,🏃‍♀️,woman running
403,💃,woman dancing
404,🕺,man dancing
405,🕴,person in suit levitating
406,👯,people with bunny ears
407,👯‍♂️,men with bunny ears
408,👯‍♀️,women with bunny ears
409,🧖,person in steamy room
410,🧖‍♂️,man in steamy room
411,🧖‍♀️,woman in steamy room
412,🧗,person climbing
413,🧗‍♂️,man climbing
414,🧗‍♀️,woman climbing
415,🤺,person fencing
416,🏇,horse racing
417,⛷,skier
418,🏂,snowboarder
419,🏌,person golfing
420,🏌️‍♂️,man golfing
421,🏌️‍♀️,woman golfing
422,🏄,person surfing
423,🏄‍♂️,man surfing
424,🏄‍♀️,woman surfing
425,🚣,person rowing boat
426,🚣‍♂️,man rowing boat
427,🚣‍♀️,woman rowing boat
428,🏊,person swimming
429,🏊‍♂️,man swimming
430,🏊‍♀️,woman swimming
431,⛹,person bouncing ball
432,⛹️‍♂️,man bouncing ball
433,⛹️‍♀️,woman bouncing ball
434,🏋,person lifting weights
435,🏋️‍♂️,man lifting weights
436,🏋️‍♀️,woman lifting weights
437,🚴,person biking
438,🚴‍♂️,man biking
439,🚴‍♀️,woman biking
440,🚵,person mountain biking
441,🚵‍♂️,man mountain biking
442,🚵‍♀️,woman mountain biking
443,🤸,person cartwheeling
444,🤸‍♂️,man cartwheeling
445,🤸‍♀️,woman cartwheeling
446,🤼,people wrestling
447,🤼‍♂️,men wrestling
448,🤼‍♀️,women wrestling
449,🤽,person playing water polo
450,🤽‍♂️,man playing water polo
451,🤽‍♀️,woman playing water polo
452,🤾,person playing handball
453,🤾‍♂️,man playing handball
454,🤾‍♀️,woman playing handball
455,🤹,person juggling
456,🤹‍♂️,man juggling
457,🤹‍♀️,woman juggling
458,🧘,person in lotus position
459,🧘‍♂️,man in lotus position
460,🧘‍♀️,woman in lotus position
461,🛀,person taking bath
462,🛌,person in bed
463,🧑‍🤝‍🧑,people holding hands
464,👭,women holding hands
465,👫,woman and man holding hands
466,👬,men holding hands
467,💏,kiss
468,👩‍❤️‍💋‍👨,"kiss: woman, man"
469,👨‍❤️‍💋‍👨,"kiss: man, man"
470,👩‍❤️‍💋‍👩,"kiss: woman, woman"
471,💑,couple with heart
472,👩‍❤️‍👨,"couple with heart: woman, man"
473,👨‍❤️‍👨,"couple with heart: man, man"
474,👩‍❤️‍👩,"couple with heart: woman, woman"
475,👪,family
476,👨‍👩‍👦,"family: man, woman, boy"
477,👨‍👩‍👧,"family: man, woman, girl"
478,👨‍👩‍👧‍👦,"family: man, woman, girl, boy"
479,👨‍👩‍👦‍👦,"family: man, woman, boy, boy"
480,👨‍👩‍👧‍👧,"family: man, woman, girl, girl"
481,👨‍👨‍👦,"family: man, man, boy"
482,👨‍👨‍👧,"family: man, man, girl"
483,👨‍👨‍👧‍👦,"family: man, man, girl, boy"
484,👨‍👨‍👦‍👦,"family: man, man, boy, boy"
485,👨‍👨‍👧‍👧,"family: man, man, girl, girl"
486,👩‍👩‍👦,"family: woman, woman, boy"
487,👩‍👩‍👧,"family: woman, woman, girl"
488,👩‍👩‍👧‍👦,"family: woman, woman, girl, boy"
489,👩‍👩‍👦‍👦,"family: woman, woman, boy, boy"
490,👩‍👩‍👧‍👧,"family: woman, woman, girl, girl"
491,👨‍👦,"family: man, boy"
492,👨‍👦‍👦,"family: man, boy, boy"
493,👨‍👧,"family: man, girl"
494,👨‍👧‍👦,"family: man, girl, boy"
495,👨‍👧‍👧,"family: man, girl, girl"
496,👩‍👦,"family: woman, boy"
497,👩‍👦‍👦,"family: woman, boy, boy"
498,👩‍👧,"family: woman, girl"
499,👩‍👧‍👦,"family: woman, girl, boy"
500,👩‍👧‍👧,"family: woman, girl, girl"
501,🗣,speaking head
502,👤,bust in silhouette
503,👥,busts in silhouette
504,🫂,people hugging
505,👣,footprints
506,🦰,red hair
507,🦱,curly hair
508,🦳,white hair
509,🦲,bald
510,🐵,monkey face
511,🐒,monkey
512,🦍,gorilla
513,🦧,orangutan
514,🐶,dog face
515,🐕,dog
516,🦮,guide dog
517,🐕‍🦺,service dog
518,🐩,poodle
519,🐺,wolf
520,🦊,fox
521,🦝,raccoon
522,🐱,cat face
523,🐈,cat
524,🐈‍⬛,black cat
525,🦁,lion
526,🐯,tiger face
527,🐅,tiger
528,🐆,leopard
529,🐴,horse face
530,🐎,horse
531,🦄,unicorn
532,🦓,zebra
533,🦌,deer
534,🦬,bison
535,🐮,cow face
536,🐂,ox
537,🐃,water buffalo
538,🐄,cow
539,🐷,pig face
540,🐖,pig
541,🐗,boar
542,🐽,pig nose
543,🐏,ram
544,🐑,ewe
545,🐐,goat
546,🐪,camel
547,🐫,two-hump camel
548,🦙,llama
549,🦒,giraffe
550,🐘,elephant
551,🦣,mammoth
552,🦏,rhinoceros
553,🦛,hippopotamus
554,🐭,mouse face
555,🐁,mouse
556,🐀,rat
557,🐹,hamster
558,🐰,rabbit face
559,🐇,rabbit
560,🐿,chipmunk
561,🦫,beaver
562,🦔,hedgehog
